participant_id	species	age	sex	pathology	institution	field
sub-MGH	homo sapiens (phantom)	n/a	n/a	HC	MGH	7T
sub-MNI	homo sapiens (phantom)	n/a	n/a	HC	MNI	7T
sub-MSSM	homo sapiens (phantom)	n/a	n/a	HC	MSSM	7T
sub-NTNU	homo sapiens (phantom)	n/a	n/a	HC	NTNU	7T
sub-UCL	homo sapiens (phantom)	n/a	n/a	HC	UCL	7T
sub-CRMBM	homo sapiens (phantom)	n/a	n/a	HC	CRMBM	7T
sub-MPI	homo sapiens (phantom)	n/a	n/a	HC	MPI	7T
